% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 26 2019, 14:26"
% Table,Steady-state material sweep {tbl7} - 
% matsw.comp1.sw1,dp_bldg (Pa),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
1,-15,1.5921510935801402E-6,2.5611919290959883E-6,14.840311833568897,3.890419350458656E-6,-1.1310141552525435E-10,-2.2038416157630477E-11,8.825894796062773E-9,1.9544575252117287E-12,4.486610447017626E-13,8.798434534120782E-9,-1.150558730504662E-10,-2.2487077202332162E-11,2.7460261942001373E-11
1,-14,1.5322768301736362E-6,2.539200159525441E-6,14.712884945138043,3.744116657271825E-6,-1.1251679454021881E-10,-2.0835908640856146E-11,8.492373284624788E-9,-1.7995059774333244E-12,2.4079662898755744E-13,8.46770765150797E-9,-1.107172885627855E-10,-2.107670526984368E-11,2.4665633116812556E-11
1,-13,1.4673307926066348E-6,2.5156344968952777E-6,14.576338449725752,3.5854210898064768E-6,-1.1112605669407746E-10,-1.9606324057325124E-11,8.130848853198976E-9,-5.337719269945567E-12,3.330108327189921E-14,8.108915943983059E-9,-1.0578833742413172E-10,-1.9639625140597003E-11,2.1932909215940305E-11
1,-12,1.3967018489297026E-6,2.490213475049218E-6,14.429041448264151,3.412839347852996E-6,-1.0882150496200067E-10,-1.8349086812576996E-11,7.738114082633802E-9,-8.586819531057073E-12,-1.733297486754765E-13,7.718842930877604E-9,-1.0023468543094392E-10,-1.817575706390151E-11,1.9271151756169574E-11
1,-11,1.31978229701741E-6,2.4625829258808483E-6,14.268941784848417,3.224886511972774E-6,-1.054838674735491E-10,-1.7063771852519784E-11,7.310756050041065E-9,-1.1463158427059982E-11,-3.7849814475383355E-13,7.294063773878903E-9,-9.402070904648908E-11,-1.6685273707765987E-11,1.6692276162149244E-11
1,-10,1.2359924171074061E-6,2.4322969602502537E-6,14.093455844481026,3.020146037598899E-6,-1.0099917962986877E-10,-1.575032650908775E-11,6.8454242645008226E-9,-1.3895211283438568E-11,-5.815182099808693E-13,6.831212950220017E-9,-8.710396834643007E-11,-1.5168808299106837E-11,1.4211314280786012E-11
1,-9,1.144787032123604E-6,2.398790189949765E-6,13.899307598835678,2.7972857851782914E-6,-9.526347294663818E-11,-1.4409255049832908E-11,6.339027593713709E-9,-1.5815863671051907E-11,-7.816794723212073E-13,6.3271812723910265E-9,-7.944760927558616E-11,-1.3627575577511729E-11,1.184632132269218E-11
1,-8,1.045695192765942E-6,2.3613250865607272E-6,13.68222358773368,2.5551549906424975E-6,-8.815679038701809E-11,-1.3041915456716972E-11,5.788927831697205E-9,-1.712104038336779E-11,-9.78424055263212E-13,5.779309289459206E-9,-7.103575000365041E-11,-1.2063491401453755E-11,9.618542238014733E-12
1,-7,9.383943967575967E-7,2.3188950316793914E-6,13.43637116316481,2.292965620052173E-6,-7.959791529836001E-11,-1.1650964535049207E-11,5.193354765278951E-9,-1.7704928576513644E-11,-1.1717016540529284E-12,5.185802183019578E-9,-6.189298672184637E-11,-1.0479262880996262E-11,7.55258225937241E-12
1,-6,8.230124131940374E-7,2.2700425808006187E-6,13.15330545589039,2.011029877043883E-6,-6.958346622392718E-11,-1.0241162592132235E-11,4.553016664042957E-9,-1.74775343066849E-11,-1.3625281324297722E-12,4.547339028455145E-9,-5.210593191724241E-11,-8.87863445970246E-12,5.677635587810923E-12
1,-5,7.003180205304104E-7,2.2125616930579485E-6,12.820244005523929,1.7112262708810985E-6,-5.821654232857279E-11,-8.820908175823153E-12,3.872679595225828E-9,-1.6365286384790504E-11,-1.5535616848119278E-12,3.868653601953449E-9,-4.1851255943782276E-11,-7.2673464910112174E-12,4.0259932723790315E-12
1,-4,5.723503947569091E-7,2.143114491626583E-6,12.417846155717369,1.3985375257306535E-6,-4.577732795737528E-11,-7.405134577962766E-12,3.1635294254492575E-9,-1.4333283469392328E-11,-1.7489542437464533E-12,3.1608971727657103E-9,-3.1444044487982955E-11,-5.656180334216306E-12,2.632252683546628E-12
1,-3,4.4315575820251787E-7,2.0569425705712528E-6,11.91854027971839,1.0828505811602917E-6,-3.284891780987186E-11,-6.019712252850191E-12,2.4480966599756137E-9,-1.1474664831283662E-11,-1.9524952015857715E-12,2.446568104831597E-9,-2.137425297858823E-11,-4.067217051264421E-12,1.5285551440108627E-12
1,-2,3.198300620105444E-7,1.9482762383367837E-6,11.288895059518541,7.815043855582297E-7,-2.04495232574334E-11,-4.705753099041148E-12,1.7654340117216847E-9,-8.139155458545903E-12,-2.1622358712386986E-12,1.764698566047597E-9,-1.2310367798887505E-11,-2.543517227802434E-12,7.354456740876385E-13
1,-1,2.1179828353445502E-7,1.8127453460538819E-6,10.503588545894619,5.175288601558188E-7,-9.950098148883445E-12,-3.5214178180056197E-12,1.1691671274552128E-9,-4.9471701438103815E-12,-2.3640435370398417E-12,1.1689236147550085E-9,-5.0029280050731084E-12,-1.1573742809657665E-12,2.4351270020400724E-13
1,0,1.2719443609748316E-7,1.651882430270422E-6,9.571500713833439,3.1079945707390065E-7,-2.3476574501003916E-12,-2.524467683615598E-12,7.02233751511548E-10,-2.3476574501003916E-12,-2.524467683615598E-12,7.02233751511548E-10,0,0,0
1,1,6.908488318059736E-8,1.4752448522934511E-6,8.548009772399057,1.688088319216059E-7,2.065183444074997E-12,-1.7491718573665989E-12,3.8156287832755054E-10,-6.305324779159702E-13,-2.606643880923721E-12,3.816423071142716E-10,2.6957159219909793E-12,8.574720235571265E-13,-7.942878672163117E-14
1,2,3.4210395655772805E-8,1.2974110922777792E-6,7.517587794574014,8.359306210492266E-8,3.876582595425995E-12,-1.188998957175134E-12,1.8890885767715735E-10,2.554068552428863E-13,-2.5908708850078784E-12,1.8898752255169314E-10,3.621175740183103E-12,1.40187192783274E-12,-7.866487453574444E-14
1,3,1.5677448715223374E-8,1.1315353788893326E-6,6.556454314363054,3.830782775168694E-8,4.076537290429518E-12,-8.05049807467045E-13,8.651679882054361E-11,5.627305063006176E-13,-2.4848459793593714E-12,8.657087266727208E-11,3.513806784128905E-12,1.6797961718923262E-12,-5.4073846728322885E-14
1,4,6.75993629655401E-9,9.85182244492843E-7,5.708440494082613,1.6517896499913908E-8,3.5418798623290937E-12,-5.487617780481281E-13,3.7298485843483296E-11,5.696332459036833E-13,-2.3152495309753867E-12,3.7329573721374933E-11,2.97224661642541E-12,1.7664877529272601E-12,-3.108787789153855E-14
1,5,2.7816436864219087E-9,8.604095435036459E-7,4.985470157513612,6.796943121398693E-9,2.8122916925204008E-12,-3.7836560905354493E-13,1.5343989245660245E-11,4.670906288879143E-13,-2.112550549384222E-12,1.53599795911081E-11,2.3452010636324845E-12,1.734184940330682E-12,-1.5990345447864638E-14
1,6,1.1029041105730392E-9,7.558814424374785E-7,4.379803086034022,2.6949449149486522E-9,2.1340775974527716E-12,-2.640693142546636E-13,6.083257176049E-12,3.4941859303391537E-13,-1.9015023349890525E-12,6.0908652234496514E-12,1.7846590044188544E-12,1.6374330207343887E-12,-7.608047400646577E-15
1,7,4.2333004439361376E-10,6.68838622557124E-7,3.8754509618441055,1.0344064724636867E-9,1.5849664754310613E-12,-1.862986002813947E-13,2.3342881185447E-12,2.513236152300679E-13,-1.698279211712982E-12,2.337695017058321E-12,1.333642860200996E-12,1.5119806114315885E-12,-3.4068985136245667E-15
1,8,1.5953139686538475E-10,5.962764204305457E-7,3.4550038666242764,3.898147832032701E-10,1.1671478961502961E-12,-1.3259675365140002E-13,8.794834273327066E-13,1.7883358996950052E-13,-1.5116850138212517E-12,8.80950717746659E-13,9.883143061807948E-13,1.3790882601698526E-12,-1.4672904139486535E-15
1,9,5.923874144835465E-11,5.354691519749187E-7,3.1026683718191075,1.447497960192153E-10,8.586701584667761E-13,-9.499282997841867E-14,3.2651377218144325E-13,1.2838666788351515E-13,-1.3453575754660652E-12,3.2712672369058417E-13,7.302834905832602E-13,1.2503647454876464E-12,-6.129515091416587E-16
1,10,2.1648572980042375E-11,4.841309126421682E-7,2.8051992629915916,5.289826296698384E-11,6.3358224694437E-13,-6.834288754583057E-14,1.1930011061624706E-13,9.397610071739536E-14,-1.199783694288518E-12,1.195489991681039E-13,5.396061462269749E-13,1.1314408067426845E-12,-2.4888855185687928E-16
1,11,7.791743453829927E-12,4.404162273460827E-7,2.5519033056951694,1.9039116091944973E-11,4.69687225267553E-13,-4.924987180283826E-14,4.2929846211714845E-14,7.039911291895987E-14,-1.0737198685962754E-12,4.302838355241942E-14,3.9928811234859356E-13,1.02446999679344E-12,-9.853734070463433E-17
1,12,2.76155794917612E-12,4.028604729873395E-7,2.334294035770059,6.747863645735657E-12,3.500174026662786E-13,-3.5445975405712106E-14,1.5212185839248345E-14,5.391532758741809E-14,-9.651474756632292E-13,1.52502842425972E-14,2.961020750788608E-13,9.297015002575175E-13,-3.8098403348863666E-17
1,13,9.629108174379319E-13,3.70312607031196E-7,2.1457019686082432,2.3528714655484573E-12,2.621935603809301E-13,-2.5383145358714592E-14,5.303198163049006E-15,4.205125036204888E-14,-8.7180592783503E-13,5.31758941733843E-15,2.201423100188816E-13,8.464227824763133E-13,-1.4391254289418453E-17
1,14,3.2979521277865357E-13,3.418708699465415E-7,1.9809020398603676,8.058542199017248E-13,1.9735790531133252E-13,-1.799547698741441E-14,1.816004945775345E-15,3.3242476667590847E-14,-7.914961764413348E-13,1.821313050382551E-15,1.641154286437414E-13,7.735006994539236E-13,-5.308104607207843E-18
1,15,1.1072644407763404E-13,3.1682447668011E-7,1.835775748403077,2.7055993767429603E-13,1.492044807581522E-13,-1.2536652978598102E-14,6.09624453251372E-16,2.651416099931229E-14,-7.222164009844207E-13,6.115339000521093E-16,1.2269031975883997E-13,7.096797480058217E-13,-1.9094468007373147E-18
2,-15,3.5746466356833632E-6,1.1890028833761342E-7,0.6701970511527275,8.734644908130667E-6,-3.0813110954869996E-10,-5.999320624222787E-11,2.329471833447793E-8,4.235936672847889E-11,1.1841060084972797E-12,1.971247639887467E-8,-3.5049047627717906E-10,-6.117731225072526E-11,3.582241935603231E-9
2,-14,3.5252128282376945E-6,1.1832156380208599E-7,0.666934994495313,8.613853456974484E-6,-3.1419957672480747E-10,-5.7031497923044746E-11,2.2740710657784553E-8,2.6529094328791445E-11,6.765830789026938E-13,1.9443577853729275E-8,-3.4072867105359917E-10,-5.770808100194733E-11,3.2971328040552036E-9
2,-13,3.4622286993111034E-6,1.1772073183896324E-7,0.6635483264261846,8.45995181099639E-6,-3.1807424827799926E-10,-5.397480008359276E-11,2.2106574773052935E-8,1.1047131368613433E-11,1.6809008708495086E-13,1.9099704489020086E-8,-3.2912137964661246E-10,-5.4142890170677767E-11,3.0068702840328483E-9
2,-12,3.3830335907255266E-6,1.1709141009181185E-7,0.6600010719572169,8.266438655024363E-6,-3.1930800625768083E-10,-5.081897623347924E-11,2.1378230685273042E-8,-3.821259661779804E-12,-3.4094460028581987E-13,1.8666193301835246E-8,-3.1548674659590147E-10,-5.047803163319342E-11,2.7120373834378164E-9
2,-11,3.285056042787421E-6,1.1642129237712156E-7,0.6562238656729444,8.02703063027982E-6,-3.1775361775929E-10,-4.756004488495985E-11,2.056278600815116E-8,-1.810222213020896E-11,-8.495237749612075E-13,1.814879242401839E-8,-2.9965139562908073E-10,-4.671052110999873E-11,2.4139935841327516E-9
2,-10,3.1635438163482766E-6,1.1570162179771641E-7,0.6521673481752813,7.73011564591539E-6,-3.11980080334401E-10,-4.419483049055827E-11,1.9592907256271647E-8,-3.056905917572421E-11,-1.3572550233876608E-12,1.7479578678156858E-8,-2.8141102115867734E-10,-4.283757546717039E-11,2.1133285781148186E-9
2,-9,3.015509102180344E-6,1.1491760468750491E-7,0.6477481330273328,7.368392993548568E-6,-3.01882717347321E-10,-4.072184064278059E-11,1.847690310726813E-8,-4.1294027032367725E-11,-1.863112245305183E-12,1.6663940467353867E-8,-2.605886903149536E-10,-3.885872839747541E-11,1.8129626399143205E-9
2,-8,2.8374933595120082E-6,1.1404930896836896E-7,0.6428538704596839,6.933411732815423E-6,-2.869338902845104E-10,-3.714090858766083E-11,1.7198199397017478E-8,-4.994670961750437E-11,-2.366539234169412E-12,1.5681836767982524E-8,-2.3698718066700616E-10,-3.4774369353491404E-11,1.5163626290348685E-9
2,-7,2.626151168409495E-6,1.1307202583855811E-7,0.6373452860744151,6.416997333988021E-6,-2.6657144372664015E-10,-3.345474727236212E-11,1.574202768004894E-8,-5.609144398046142E-11,-2.8683467864424574E-12,1.4514055508980714E-8,-2.104799997461787E-10,-3.058640048591963E-11,1.2279721710682516E-9
2,-6,2.3782586528150694E-6,1.11941477779604E-7,0.6309728038383244,5.811272259658656E-6,-2.403153861786687E-10,-2.966925458408077E-11,1.4096588740507342E-8,-5.925331314992055E-11,-3.372912487145328E-12,1.3143411572094195E-8,-1.8106207302874806E-10,-2.6296342096935435E-11,9.531771684131483E-10
2,-5,2.0916668042108584E-6,1.105769238585133E-7,0.623281316905533,5.110985410006458E-6,-2.0789427212067345E-10,-2.5796484318025526E-11,1.2255615115286485E-8,-5.892984015855478E-11,-3.892181597923052E-12,1.1557031594687221E-8,-1.4896443196211877E-10,-2.1904302720102414E-11,6.985835205992644E-10
2,-4,1.7672319732652287E-6,1.0882364477564039E-7,0.6133987296753601,4.318229276896328E-6,-1.6975661104659243E-10,-2.1861953226219385E-11,1.0233997508921753E-8,-5.48879279938941E-11,-4.450487023535384E-12,9.76182367794197E-9,-1.1486868305269863E-10,-1.7411466202683992E-11,4.721738309797903E-10
2,-3,1.4113011030822262E-6,1.0638810565988599E-7,0.5996704943937864,3.4485126084413034E-6,-1.271794792523053E-10,-1.7920811634986035E-11,8.076301915246741E-9,-4.7009480446778936E-11,-5.085911890812978E-12,7.793500334528821E-9,-8.016999880552641E-11,-1.2834899744173041E-11,2.828015807179435E-10
2,-2,1.0425566023342916E-6,1.0279899858340061E-7,0.5794400221841497,2.547485848563148E-6,-8.326365713080187E-11,-1.4086000656791138E-11,5.895076091998668E-9,-3.599134131842563E-11,-5.835424652846944E-12,5.755804329642908E-9,-4.727231581237628E-11,-8.250576003944156E-12,1.3927176235573538E-10
